date,timestamp_updated
20251104,2025-11-26T14:30:43.462475
20251105,2025-11-26T14:30:49.977564
20251106,2025-11-26T14:30:56.126828
20251107,2025-11-26T14:31:02.101000
20251108,2025-11-26T14:31:08.268146
20251109,2025-11-26T14:31:14.153980
20251110,2025-11-26T14:31:19.925322
20251111,2025-11-26T14:31:26.573759
20251112,2025-11-26T14:31:32.593735
20251113,2025-11-26T14:31:38.506378
20251114,2025-11-26T14:31:44.387270
20251115,2025-11-26T14:31:50.430717
20251116,2025-11-26T14:31:57.287317
20251117,2025-11-26T14:32:03.139990
20251118,2025-11-26T14:32:09.091153
20251119,2025-11-26T14:32:15.003569
20251120,2025-11-26T14:32:20.891489
20251121,2025-11-26T14:32:26.758842
20251122,2025-11-26T14:32:33.403319
20251123,2025-11-26T14:32:39.488975
20251124,2025-11-26T14:32:45.389723
20251125,2025-11-26T14:32:51.292354
20251126,2025-12-03T16:01:48.865025
20251127,2025-12-03T16:02:34.098642
